DEPARTMENT,19-24,25-34,35-44,45-54,55-64,65+
 ,0.0,0.0,0.0,0.0,0.0,0.0
AUTOMOTIVE,11.639999,21.25,72.58,55.92,0.0,16.369999
CHARITABLE CONT,0.0,0.0,0.0,0.0,0.0,0.0
CHEF SHOPPE,81.3,134.16,348.53,418.24,80.86,149.24
CNTRL/STORE SUP,2.0,0.0,1.0,9.95,2.0,0.1
COSMETICS,698.63,2273.03,4362.02,5187.57,986.26,600.9
COUP/STR & MFG,7.49,48.42,121.200005,154.55,40.68,20.49
DAIRY DELI,3.8,3.85,7.39,16.75,3.1399999,1.94
DELI,4043.3,18181.94,34577.29,44334.22,9850.54,10462.33
DELI/SNACK BAR,0.0,0.0,6.98,1.56,0.0,3.31
DRUG GM,25297.43,85298.05,126480.336,177007.12,29220.93,32759.76
ELECT &PLUMBING,0.0,0.0,0.0,0.0,0.0,0.0
FLORAL,776.99,2355.57,5246.6,6835.69,1112.69,1160.22
FROZEN GROCERY,1.64,53.05,108.96,84.5,54.22,20.19
GARDEN CENTER,41.98,380.11,701.83,1487.9,248.06999,441.81
GM MERCH EXP,0.0,0.0,17.76,30.369999,12.05,2.95
GRO BAKERY,0.0,0.0,0.0,2.18,0.0,0.0
GROCERY,99008.27,327926.16,490616.03,667163.0,127082.01,129117.27
HBC,0.0,0.0,0.0,0.0,0.0,0.0
HOUSEWARES,0.0,0.0,0.0,0.0,0.0,0.0
KIOSK-GAS,8465.18,50817.91,92614.66,96858.44,16329.77,17853.99
MEAT,11957.34,37162.66,61003.95,87407.67,20001.91,17514.19
MEAT-PCKGD,10453.13,30029.69,46499.11,59855.46,11891.43,10413.65
MEAT-WHSE,0.0,0.0,1.0,4.0,1.0,0.0
MISC SALES TRAN,2031.73,8200.66,9976.19,23617.85,7762.98,2657.76
MISC. TRANS.,73.52,757.37,1334.7,859.08,688.73,142.63
NUTRITION,1146.4,11067.45,15941.86,16366.51,2504.01,3114.28
PASTRY,2386.73,8161.42,13706.81,19534.79,3601.8599,5162.8
PHARMACY SUPPLY,0.0,5.9700003,3.98,1.99,0.0,0.0
PHOTO,4.98,5.19,6.98,2.49,0.0,1.99
PORK,0.0,0.0,0.0,0.0,0.0,0.0
POSTAL CENTER,0.0,0.0,0.0,5.96,1.0,0.33
PROD-WHS SALES,0.0,0.0,2.52,5.0,0.0,0.0
PRODUCE,10170.59,41706.46,67779.89,96442.73,21326.15,23295.78
RESTAURANT,1.39,389.04,234.11,540.31,33.9,30.65
RX,0.0,0.0,26.88,26.779999,0.0,10.99
SALAD BAR,1330.15,2050.06,3631.81,4770.15,925.77,1677.88
SEAFOOD,461.18,2080.94,3101.91,5551.32,1363.95,1341.45
SEAFOOD-PCKGD,1500.27,4189.13,6346.77,10079.84,2975.97,2206.0999
SPIRITS,2983.75,2474.46,1491.37,3218.3398,263.18,141.64
TOYS,0.0,0.0,0.0,1.49,0.0,0.0
TRAVEL & LEISUR,50.22,173.56,283.19,431.48,81.15,133.2
VIDEO,0.0,7.99,13.99,0.0,0.0,0.0
VIDEO RENTAL,0.0,0.0,0.0,0.0,0.0,0.0
